N,mean_final_xa,std_final_xa,mean_final_xb,std_final_xb,mean_final_xu,std_final_xu,consensus_rate,mean_consensus_time,decision_accuracy
20,0.19,0.09067647005823629,0.11499999999999999,0.05797509043642029,0.6950000000000001,0.1165475582469806,0.3,1348.0,0.7
50,0.262,0.08612652191849951,0.13999999999999999,0.06324555320336758,0.5980000000000001,0.08612652191849952,0.3,722.3333333333334,0.8
100,0.369,0.08372574275573791,0.19,0.07916228058025278,0.441,0.10938718186129286,0.2,515.5,0.9
200,0.5335,0.093542919442242,0.321,0.07011102306738617,0.14550000000000002,0.06112146376955752,0.0,,1.0
